url,test cases?, # of stars
https://github.com/deactivatedtoken/smartcontracts,yes,0star
,,
https://github.com/twoblocks/jackpot,yes,0star
,,
https://github.com/SvenMeyer/simple_bank,yes,0star
,,
https://github.com/dipinxian/SmartContract,no,0star
,,
https://github.com/mana-techx/SmartContractStore,no,0star
,,
https://github.com/pauloneto94/BiddingApp,yes,0star
,,
https://github.com/previsione/smartcontract,no,0star
,,
https://github.com/samixchoumi/workshop-epsi,yes,0star
,,
https://github.com/iMiracleDev/Decentralize_SmartContract,no,0star
,,
https://github.com/reapra-hbaocr/smartcontractHealthcare,no,0star
,,
https://github.com/comnics/smartcontractEx,no,1star
,,
https://github.com/anomal/ElectronicFundsTransfer.SmartContract,no,2star
,,
https://github.com/nishkumar007/smartcontract007,yes,0star
,,
https://github.com/Mokui/smartcontractTest,yes,0star
,,
https://github.com/twogapme/smartcontract,no,0star
,,
https://github.com/ideasreward2018/smartcontract,no,0star
,,
https://github.com/ix15/smartcontract,no,0star
,,
https://github.com/troygold/smartcontract,no,0star
,,
https://github.com/polarjack/smartcontract,no,0star
,,
https://github.com/HireBitsCo/smartcontract,no,0star
,,
https://github.com/StayVillaHotel/smartcontract,no,0star
,,
https://github.com/Volavia-group/smartcontract,yes,0star
,,
https://github.com/ecometh/smartcontract,no,0star
,,
https://github.com/twogapme/smartcontract,yes,0star
,,
https://github.com/ideasreward2018/smartcontract,no,0star
,,
https://github.com/dlinnane74/smartcontract,no,0star
,,
https://github.com/cubeint/smartcontract,no,0star
,,
https://github.com/iambuyer/smartcontract,no,0star
,,
https://github.com/sinhajoy/Smartcontract,no,0star
